Filter_1,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,21,1,1,1,1,1,BB,C1,Treat(Cont)Pre,269.329,30.672,300.001,0.898,0.102,7,7,0,184.945,4.381714,,
1,21,1,2,1,1,2,BB,C1,Treat(Cont)Stim,294.355,5.645,300,0.981183,0.018817,3,2,0,168,2.8225,-25.027,-0.815956
1,21,1,3,1,1,3,BB,C1,Treat(Cont)Post,272.597,27.403,300,0.909,0.091,14,13,0,7.78,2.107923,-3.269,-0.106579
1,21,1,4,2,2,1,BB,C1,Treat(Cont)Pre,259.047,40.953,300,0.863,0.137,8,7,0,23.622,5.850429,,
1,21,1,5,2,2,2,BB,C1,Treat(Cont)Stim,296.162,3.838,300,0.987207,0.012793,3,2,0,145,1.919,-37.115,-0.906283
1,21,1,6,2,2,3,BB,C1,Treat(Cont)Post,279.083,20.917,300,0.93,0.07,7,6,0,32.923,3.486167,-20.036,-0.489244
1,21,1,7,3,3,1,BB,C1,Treat(Cont)Pre,273.128,26.872,300,0.91,0.09,14,13,0,73.521,2.067077,,
1,21,1,8,3,3,2,BB,C1,Treat(Cont)Stim,257.73,42.27,300,0.8591,0.1409,16,15,0,24.262,2.818,15.398,0.573013
1,21,1,9,3,3,3,BB,C1,Treat(Cont)Post,287.696,12.304,300,0.959,0.041,4,3,0,48.48,4.101333,-14.568,-0.542126
1,21,1,10,4,4,1,BB,C1,Treat(Cont)Pre,285.904,14.096,300,0.953,0.047,7,6,0,16.86,2.349333,,
1,21,1,11,4,4,2,BB,C1,Treat(Cont)Stim,295.904,4.096,300,0.986347,0.013653,4,3,0,184.006,1.365333,-10,-0.709421
1,21,1,12,4,4,3,BB,C1,Treat(Cont)Post,286.719,13.281,300,0.956,0.044,5,4,0,30.12,3.32025,-0.815,-0.057818
1,21,1,13,5,5,1,BB,C1,Treat(Cont)Pre,287.196,12.804,300,0.957,0.043,6,5,0,6.601,2.5608,,
1,21,1,14,5,5,2,BB,C1,Treat(Cont)Stim,289.256,10.744,300,0.964187,0.035813,7,6,0,11.381,1.790667,-2.06,-0.160887
1,21,1,15,5,5,3,BB,C1,Treat(Cont)Post,279.021,20.979,300,0.93,0.07,9,8,0,23.84,2.622375,8.175,0.638472
1,21,1,16,6,6,1,BB,C1,Treat(Cont)Pre,295.992,4.008,300,0.987,0.013,3,2,0,214.56,2.004,,
1,21,1,17,6,6,2,BB,C1,Treat(Cont)Stim,294.38,5.62,300,0.981267,0.018733,4,3,0,25.639,1.873333,1.612,0.402196
1,21,1,18,6,6,3,BB,C1,Treat(Cont)Post,290.813,9.187,300,0.969,0.031,4,3,0,3.581,3.062333,5.179,1.292166
1,21,1,19,7,7,1,BB,C1,Treat(Cont)Pre,250.74,49.26,300,0.836,0.164,11,10,0,186.225,4.926,,
1,21,1,20,7,7,2,BB,C1,Treat(Cont)Stim,289.61,10.39,300,0.965367,0.034633,7,6,0,168.801,1.731667,-38.87,-0.789078
1,21,1,21,7,7,3,BB,C1,Treat(Cont)Post,289.297,10.703,300,0.964,0.036,2,2,0,287.501,5.3515,-38.557,-0.782724
1,21,1,22,8,8,1,BB,C1,Treat(Cont)Pre,295.905,4.095,300,0.986,0.014,2,1,0,170.844,4.095,,
1,21,1,23,8,8,2,BB,C1,Treat(Cont)Stim,297.684,2.316,300,0.99228,0.00772,2,1,0,284.145,2.316,-1.779,-0.434432
1,21,1,24,8,8,3,BB,C1,Treat(Cont)Post,285.659,14.341,300,0.952,0.048,4,3,0,94.439,4.780333,10.246,2.502076
1,21,1,25,9,9,1,BB,C1,Treat(Cont)Pre,287.704,12.296,300,0.959,0.041,7,6,0,236.764,2.049333,,
1,21,1,26,9,9,2,BB,C1,Treat(Cont)Stim,290.764,9.237,300.001,0.96921,0.03079,2,1,0,139.164,9.237,-3.059,-0.24878
1,21,1,27,9,9,3,BB,C1,Treat(Cont)Post,243.793,56.207,300,0.813,0.187,17,16,0,96.521,3.512938,43.911,3.571161
1,21,1,28,10,10,1,BB,C1,Treat(Cont)Pre,218.044,81.956,300,0.727,0.273,17,16,0,46.9,5.12225,,
1,21,1,29,10,10,2,BB,C1,Treat(Cont)Stim,300,0,300,1,0,1,0,0,,0,-81.956,-1
1,21,1,30,10,10,3,BB,C1,Treat(Cont)Post,270.819,29.181,300,0.903,0.097,4,3,0,83.761,9.727,-52.775,-0.643943
1,21,2,31,11,11,1,BB,C1,Treat(Cont)Pre,206.868,93.132,300,0.69,0.31,35,34,0,142.981,2.739176,,
1,21,2,32,11,11,2,BB,C1,Treat(Cont)Stim,247.606,52.394,300,0.825353,0.174647,24,23,0,98.303,2.278,-40.738,-0.437422
1,21,2,33,11,11,3,BB,C1,Treat(Cont)Post,267.463,32.537,300,0.892,0.108,10,9,0,17.606,3.615222,-60.595,-0.650636
1,21,2,34,12,12,1,BB,C1,Treat(Cont)Pre,275.923,24.077,300,0.92,0.08,9,8,0,0.881,3.009625,,
1,21,2,35,12,12,2,BB,C1,Treat(Cont)Stim,265.964,34.036,300,0.886547,0.113453,11,10,0,21.766,3.4036,9.959,0.413631
1,21,2,36,12,12,3,BB,C1,Treat(Cont)Post,274.144,25.856,300,0.914,0.086,14,13,0,59.42,1.988923,1.779,0.073888
1,21,2,37,13,13,1,BB,C1,Treat(Cont)Pre,286.562,13.438,300,0.955,0.045,3,2,0,111.222,6.719,,
1,21,2,38,13,13,2,BB,C1,Treat(Cont)Stim,280.28,19.72,300,0.934267,0.065733,5,4,0,127.74,4.93,6.282,0.46748
1,21,2,39,13,13,3,BB,C1,Treat(Cont)Post,271.043,28.957,300,0.903,0.097,3,2,0,124.444,14.4785,15.519,1.154859
1,21,2,40,14,14,1,BB,C1,Treat(Cont)Pre,275.186,24.814,300,0.917,0.083,8,7,0,36.84,3.544857,,
1,21,2,41,14,14,2,BB,C1,Treat(Cont)Stim,276.457,23.543,300,0.921523,0.078477,9,8,0,32.661,2.942875,-1.271,-0.051221
1,21,2,42,14,14,3,BB,C1,Treat(Cont)Post,274.392,25.608,300,0.915,0.085,9,8,0,12.764,3.201,0.794,0.031998
1,21,2,43,15,15,1,BB,C1,Treat(Cont)Pre,295.641,4.359,300,0.985,0.015,4,3,0,59.419,1.453,,
