ID,Batch_wide,Pre,Stim,Post,Diff_StimPre,Diff_PostPre,Treat,Filter_2
1,1,30.672,5.645,27.403,-25.027,-3.269,C1,1
2,1,40.953,3.838,20.917,-37.115,-20.036,C1,1
3,1,26.872,42.27,12.304,15.398,-14.568,C1,1
4,1,14.096,4.096,13.281,-10,-0.815,C1,1
5,1,12.804,10.744,20.979,-2.06,8.175,C1,1
6,1,4.008,5.62,9.187,1.612,5.179,C1,1
7,1,49.26,10.39,10.703,-38.87,-38.557,C1,1
8,1,4.095,2.316,14.341,-1.779,10.246,C1,1
9,1,12.296,9.237,56.207,-3.059,43.911,C1,1
10,1,81.956,0,29.181,-81.956,-52.775,C1,1
11,2,93.132,52.394,32.537,-40.738,-60.595,C1,1
12,2,24.077,34.036,25.856,9.959,1.779,C1,1
13,2,13.438,19.72,28.957,6.282,15.519,C1,1
14,2,24.814,23.543,25.608,-1.271,0.794,C1,1
15,2,4.359,8.964,11.004,4.605,6.645,C1,1
16,2,31.999,14.585,12.64,-17.414,-19.359,C1,1
17,2,30.221,37.828,52.762,7.607,22.541,C1,1
18,2,52.239,38.893,35.597,-13.346,-16.642,C1,1
19,2,33.161,48.918,24.58,15.757,-8.581,C1,1
20,2,6.66,9.469,10.5,2.809,3.84,C1,1
21,3,6.14,33.266,133.439,27.126,127.299,C1,1
22,3,48.612,31.76,42.419,-16.852,-6.193,C1,1
23,3,26.628,10.74,9.622,-15.888,-17.006,C1,1
24,3,,,,0,0,C1,1
25,3,19.731,17.689,27.819,-2.042,8.088,C1,1
26,3,48.523,25.777,41.969,-22.746,-6.554,C1,1
27,3,14.095,24.816,7.401,10.721,-6.694,C1,1
28,3,50.699,32.217,55.063,-18.482,4.364,C1,1
29,3,,,,0,0,C1,1
30,3,1.543,2.56,7.556,1.017,6.013,C1,1
31,1,129.764,148.575,98.993,18.811,-30.771,BFT,1
32,1,47.878,6.66,10.933,-41.218,-36.945,BFT,1
33,1,279.283,254.767,270.258,-24.516,-9.025,BFT,1
34,1,84.912,44.298,105.447,-40.614,20.535,BFT,1
35,1,52.999,59.073,49.397,6.074,-3.602,BFT,1
36,1,34.86,33.028,50.442,-1.832,15.582,BFT,1
37,1,70.257,56.795,24.304,-13.462,-45.953,BFT,1
38,1,50.209,12.801,13.957,-37.408,-36.252,BFT,1
39,1,44.593,25.211,65.098,-19.382,20.505,BFT,1
40,1,68.026,2.556,48.402,-65.47,-19.624,BFT,1
41,2,39.675,56.582,44.061,16.907,4.386,BFT,1
42,2,25.877,10.085,12.039,-15.792,-13.838,BFT,1
43,2,75.036,79.67,97.182,4.634,22.146,BFT,1
44,2,102.684,111.014,74.417,8.33,-28.267,BFT,1
45,2,77.718,47.644,66.324,-30.074,-11.394,BFT,1
46,2,63.769,5.423,46.184,-58.346,-17.585,BFT,1
47,2,58.449,34.757,35.917,-23.692,-22.532,BFT,1
48,2,77.23,86.567,133.902,9.337,56.672,BFT,1
49,2,32.48,61.073,45.684,28.593,13.204,BFT,1
50,2,56.912,20.57,38.387,-36.342,-18.525,BFT,1
51,3,31.234,12.02,28.679,-19.214,-2.555,BFT,1
52,3,103.033,117.938,96.388,14.905,-6.645,BFT,1
53,3,115.63,113.867,143.44,-1.763,27.81,BFT,1
54,3,168.953,123.254,193.048,-45.699,24.095,BFT,1
55,3,75.494,44.215,42.249,-31.279,-33.245,BFT,1
56,3,90.252,100.773,104.751,10.521,14.499,BFT,1
57,3,58.45,126.001,110.352,67.551,51.902,BFT,1
58,3,35.573,32.915,28.034,-2.658,-7.539,BFT,1
59,3,44.056,69.194,85.12,25.138,41.064,BFT,1
