Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,1,21,1,2013,1,1,1,RT,C1,Treat(Cont)Pre,271.826,28.174,300,0.906,0.094,15,14,0,19.121,2.012429,NA,NA
1,1,1,21,1,2014,1,1,2,RT,C1,Treat(Cont)Stim,275.236,24.764,300,0.917453,0.082547,11,11,0,13.425,2.251273,-3.41,-0.121034
1,1,1,21,1,2015,1,1,3,RT,C1,Treat(Cont)Post,283.975,16.025,300,0.947,0.053,8,8,2.481,0,2.003125,-12.149,-0.431213
1,1,1,21,1,2016,2,2,1,RT,C1,Treat(Cont)Pre,270.084,29.916,300,0.9,0.1,16,15,0,30.44,1.9944,NA,NA
1,1,1,21,1,2017,2,2,2,RT,C1,Treat(Cont)Stim,272.076,27.924,300,0.90692,0.09308,14,13,0,14.684,2.148,-1.992,-0.066586
1,1,1,21,1,2018,2,2,3,RT,C1,Treat(Cont)Post,283.227,16.773,300,0.944,0.056,6,5,0,78.281,3.3546,-13.143,-0.43933
1,1,1,21,1,2019,3,3,1,RT,C1,Treat(Cont)Pre,211.47,88.53,300,0.705,0.295,42,42,2.761,0,2.107857,NA,NA
1,1,1,21,1,2020,3,3,2,RT,C1,Treat(Cont)Stim,198.299,101.701,300,0.660997,0.339003,51,50,0,9.5,2.03402,13.171,0.148774
1,1,1,21,1,2021,3,3,3,RT,C1,Treat(Cont)Post,228.552,71.448,300,0.762,0.238,34,33,0,11.121,2.165091,-17.082,-0.192952
1,1,1,21,1,2022,4,4,1,RT,C1,Treat(Cont)Pre,249.039,50.961,300,0.83,0.17,24,24,4.721,0,2.123375,NA,NA
1,1,1,21,1,2023,4,4,2,RT,C1,Treat(Cont)Stim,250.616,49.384,300,0.835387,0.164613,23,22,0,11.401,2.244727,-1.577,-0.030945
1,1,1,21,1,2024,4,4,3,RT,C1,Treat(Cont)Post,252.957,47.043,300,0.843,0.157,16,16,5.82,0,2.940188,-3.918,-0.076882
1,1,1,21,1,2025,5,5,1,RT,C1,Treat(Cont)Pre,242.258,57.742,300,0.808,0.192,31,32,1.461,0,1.804437,NA,NA
1,1,1,21,1,2026,5,5,2,RT,C1,Treat(Cont)Stim,272.909,27.091,300,0.909697,0.090303,18,17,0,61.062,1.593588,-30.651,-0.530827
1,1,1,21,1,2027,5,5,3,RT,C1,Treat(Cont)Post,247.875,52.125,300,0.826,0.174,28,27,0,27.901,1.930556,-5.617,-0.097278
1,1,1,21,1,2028,6,6,1,RT,C1,Treat(Cont)Pre,254.466,45.534,300,0.848,0.152,27,26,0,22.065,1.751308,NA,NA
1,1,1,21,1,2029,6,6,2,RT,C1,Treat(Cont)Stim,243.435,56.565,300,0.81145,0.18855,23,22,0,12.84,2.571136,11.031,0.242259
1,1,1,21,1,2030,6,6,3,RT,C1,Treat(Cont)Post,256.227,43.773,300,0.854,0.146,19,18,0,23.12,2.431833,-1.761,-0.038674
1,1,1,21,1,2031,7,7,1,RT,C1,Treat(Cont)Pre,211.359,88.641,300,0.705,0.295,62,61,0,0.561,1.453131,NA,NA
1,1,1,21,1,2032,7,7,2,RT,C1,Treat(Cont)Stim,208.24,91.76,300,0.694133,0.305867,46,46,0,6.044,1.994783,3.119,0.035187
1,1,1,21,1,2033,7,7,3,RT,C1,Treat(Cont)Post,212.126,87.874,300,0.707,0.293,48,47,0,2.121,1.86966,-0.767,-0.008653
1,1,1,21,1,2034,8,8,1,RT,C1,Treat(Cont)Pre,271.654,28.346,300,0.906,0.094,12,12,0,104.521,2.362167,NA,NA
1,1,1,21,1,2035,8,8,2,RT,C1,Treat(Cont)Stim,279.377,20.623,300,0.931257,0.068743,13,12,0,109.404,1.718583,-7.723,-0.272455
1,1,1,21,1,2036,8,8,3,RT,C1,Treat(Cont)Post,288.722,11.278,300,0.962,0.038,7,6,0,133.941,1.879667,-17.068,-0.602131
1,1,1,21,1,2037,9,9,1,RT,C1,Treat(Cont)Pre,267.509,32.491,300,0.892,0.108,20,19,0,5.641,1.710053,NA,NA
1,1,1,21,1,2038,9,9,2,RT,C1,Treat(Cont)Stim,263.141,36.859,300,0.877137,0.122863,23,22,0,7.441,1.675409,4.368,0.134437
