ID,Batch_wide,Pre,Stim,Post,Diff_StimPre,Diff_PostPre,Treat,Filter_2
1,1,28.174,24.764,16.025,-3.41,-12.149,C1,1
2,1,29.916,27.924,16.773,-1.992,-13.143,C1,1
3,1,88.53,101.701,71.448,13.171,-17.082,C1,1
4,1,50.961,49.384,47.043,-1.577,-3.918,C1,1
5,1,57.742,27.091,52.125,-30.651,-5.617,C1,1
6,1,45.534,56.565,43.773,11.031,-1.761,C1,1
7,1,88.641,91.76,87.874,3.119,-0.767,C1,1
8,1,28.346,20.623,11.278,-7.723,-17.068,C1,1
9,1,32.491,36.859,51.397,4.368,18.906,C1,1
10,1,16.139,57.537,9.489,41.398,-6.65,C1,1
11,2,85.161,48.417,41.596,-36.744,-43.565,C1,1
12,2,58.702,37.361,45.871,-21.341,-12.831,C1,1
13,2,54.494,61.738,68.204,7.244,13.71,C1,1
14,2,37.334,26.381,26.007,-10.953,-11.327,C1,1
15,2,71.853,49.943,39.965,-21.91,-31.888,C1,1
16,2,79.469,47.784,50.18,-31.685,-29.289,C1,1
17,2,54.841,65.567,63.288,10.726,8.447,C1,1
18,2,52.765,69.476,71.558,16.711,18.793,C1,1
19,2,19.155,3.046,9.494,-16.109,-9.661,C1,1
20,2,0,7.421,5.455,7.421,5.455,C1,1
21,3,46.875,17.41,27.168,-29.465,-19.707,C1,1
22,3,88.806,72.018,77.305,-16.788,-11.501,C1,1
23,3,74.964,40.447,50.182,-34.517,-24.782,C1,1
24,3,15.363,10.001,19.46,-5.362,4.097,C1,1
25,3,67.658,68.103,58.545,0.445,-9.113,C1,1
26,3,64.15,44.321,52.314,-19.829,-11.836,C1,1
27,3,62.098,69.929,63.511,7.831,1.413,C1,1
28,3,49.051,24.723,29.207,-24.328,-19.844,C1,1
29,3,81.885,56.06,72.775,-25.825,-9.11,C1,1
30,3,8.708,7.95,15.484,-0.758,6.776,C1,1
31,1,68.099,19.257,4.34,-48.842,-63.759,BFT,1
32,1,72.608,31.227,4.1,-41.381,-68.508,BFT,1
33,1,29.691,0,0,-29.691,-29.691,BFT,1
34,1,22.383,0,0,-22.383,-22.383,BFT,1
35,1,23.583,15.128,0,-8.455,-23.583,BFT,1
36,1,54.082,34.438,0,-19.644,-54.082,BFT,1
37,1,34.061,25.326,45.276,-8.735,11.215,BFT,1
